LABEL,ID,TRACK_ID,POSITION_X,POSITION_Y,POSITION_T,FRAME,PERCENTAGE,MEAN_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEAN_INTENSITY_CH4
ID0,0,7,0.0,0.0,0.0,0,0.0,0,1,0.017969508540243595,0.0009110511944006028
ID1,1,7,0.01,0.15,0.01,1,2.0,0,1,0.026572078187926618,0.0011125360328603229
ID2,2,7,0.02,0.3,0.02,2,4.0,0,1,0.03912855385966152,0.0013585199504289047
ID3,3,7,0.03,0.45,0.03,3,6.0,0,1,0.0572687273741459,0.0016588010801745767
ID4,4,7,0.04,0.6,0.04,4,8.0,0,1,0.08308997927107065,0.0020253203890499005
ID5,5,7,0.05,0.75,0.05,5,10.0,0,1,0.11907952744613137,0.002472623156634768
ID6,6,7,0.06,0.9,0.06,6,12.0,0,1,0.16779754296111227,0.0030184163247084506
ID7,7,7,0.07,1.05,0.07,7,14.000000000000002,0,1,0.23120063834488125,0.0036842398994358927
ID8,8,7,0.08,1.2,0.08,8,16.0,0,1,0.3096159517074013,0.004496273160941033
ID9,9,7,0.09,1.35,0.09,9,18.0,0,1,0.4007014605281136,0.005486298899450404
ID10,10,7,0.1,1.5,0.1,10,20.0,0,1,0.4990889488055994,0.006692850924284732
ID11,11,7,0.11,1.65,0.11,11,22.0,0,1,0.5973291401620231,0.008162571153159881
ID12,12,7,0.12,1.8,0.12,12,24.0,0,1,0.6879491607385626,0.009951801866904253
ID13,13,7,0.13,1.95,0.13,13,26.0,0,1,0.7655063671743092,0.012128434984274294
ID14,14,7,0.14,2.1,0.14,14,28.000000000000004,0,1,0.8275221119729834,0.01477403169327296
ID15,15,7,0.15,2.25,0.15,15,30.0,0,1,0.8741042270535977,0.01798620996209155
ID16,16,7,0.16,2.4,0.16,16,32.0,0,1,0.9068755016391732,0.02188127093613046
ID17,17,7,0.17,2.55,0.17,17,34.0,0,1,0.9279017924078583,0.026596993576865957
ID18,18,7,0.18,2.7,0.18,18,36.0,0,1,0.9389530062671052,0.03229546469845057
ID19,19,7,0.19,2.85,0.19,19,38.0,0,1,0.9411075417246835,0.039165722796764335
ID20,20,7,0.2,3.0,0.2,20,40.0,0,1,0.9345879168603417,0.047425873177566746
ID21,21,7,0.21,3.15,0.21,21,42.0,0,1,0.918733144672379,0.057324175898868734
ID22,22,7,0.22,3.3,0.22,22,44.0,0,1,0.8920869397271551,0.06913842034334672
ID23,23,7,0.23,3.45,0.23,23,46.0,0,1,0.8526626362000618,0.08317269649392234
ID24,24,7,0.24,3.6,0.24,24,48.0,0,1,0.7984996486591456,0.0997504891196852
ID25,25,7,0.25,3.75,0.25,25,50.0,0,1,0.72858595547337,0.1192029220221178
ID26,26,7,0.26,3.9,0.26,26,52.0,0,1,0.643997505145621,0.1418510649004876
ID27,27,7,0.27,4.05,0.27,27,54.0,0,1,0.5487214612796176,0.16798161486607555
ID28,28,7,0.28,4.2,0.28,28,56.00000000000001,0,1,0.44941997385368504,0.1978161114414183
ID29,29,7,0.29,4.35,0.29,29,57.99999999999999,0,1,0.3538434926671252,0.23147521650098213
ID30,30,7,0.3,4.5,0.3,30,60.0,0,1,0.2686060712395286,0.2689414213699943
ID31,31,7,0.31,4.65,0.31,31,62.0,0,1,0.19759129467118486,0.31002551887238283
ID32,32,7,0.32,4.8,0.32,32,64.0,0,1,0.14170035454242802,0.3543436937741702
ID33,33,7,0.33,4.95,0.33,33,66.0,0,1,0.09964945992577734,0.40131233988729376
ID34,34,7,0.34,5.1,0.34,34,68.0,0,1,0.06907069619372708,0.45016600268564266
ID35,35,7,0.35,5.25,0.35,35,70.0,0,1,0.047380475308864245,0.499999999986112
ID36,36,7,0.36,5.4,0.36,36,72.0,0,1,0.03226503314155016,0.5498339972098591
ID37,37,7,0.37,5.55,0.37,37,74.0,0,1,0.02186087184885066,0.5986876593541961
ID38,38,7,0.38,5.7,0.38,38,76.0,0,1,0.014760357684188374,0.645656300622999
ID39,39,7,0.39,5.85,0.39,39,78.0,0,1,0.009942635863184446,0.689974439728237
ID40,40,7,0.4,6.0,0.4,40,80.0,0,1,0.006686706749682525,0.7310582727277781
ID41,41,7,0.41,6.15,0.41,41,82.0,0,1,0.004492154589196273,0.7685225231747197
ID42,42,7,0.42,6.3,0.42,42,84.0,0,1,0.0030156555597580237,0.8021671871367335
ID43,43,7,0.43,6.45,0.43,43,86.0,0,1,0.0020234697912768773,0.8318949905579383
ID44,44,7,0.44,6.6,0.44,44,88.0,0,1,0.0013572794568879054,0.8572378839051116
ID45,45,7,0.45,6.75,0.45,45,90.0,0,1,0.0009102196663728357,0.8741042270535977
ID46,46,7,0.46,6.9,0.46,46,92.0,0,1,0.0006103219693758266,0.8528236377027483
ID47,47,7,0.47,7.05,0.47,47,94.0,0,1,0.00040919353518775736,0.6478858821360824
ID48,48,7,0.48,7.2,0.48,48,96.0,0,1,0.00027432770452695543,0.19980300102664827
ID49,49,7,0.49,7.35,0.49,49,98.0,0,1,0.00018390402223866786,-0.009898302721302099
