LABEL,ID,TRACK_ID,POSITION_X,POSITION_Y,POSITION_T,FRAME,PERCENTAGE,MEAN_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEAN_INTENSITY_CH3_AVG,MEAN_INTENSITY_CH4_AVG,MEAN_INTENSITY_CH3_NORM,MEAN_INTENSITY_CH4_NORM,DISCRETE_PHASE_MAX,CELL_CYCLE_PERC,CELL_CYCLE_PERC_DTW,DTW_DISTANCE,DTW_DISTORTION,DTW_DISTORTION_REL,DTW_WARP,DTW_WARP_REL
ID0,0,7,0.0,0.0,0.0,0,0.0,0,1,0.0179695085402435,0.0009110511944006,0.01970732359626941,0.0009613281242718017,0.02,0.0,G1,0.5408985094454521,0.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID1,1,7,0.01,0.15,0.01,1,2.0,0,1,0.0265720781879266,0.0011125360328603,0.026294697801688086,0.0011067615598011095,0.03,0.0,G1,2.6195065508245015,2.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID2,2,7,0.02,0.3,0.02,2,4.0,0,1,0.0391285538596615,0.0013585199504289,0.038382147707202295,0.0013418775418805645,0.04,0.0,G1,4.109730848258386,4.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID3,3,7,0.03,0.45,0.03,3,6.0,0,1,0.0572687273741459,0.0016588010801745,0.05712442877632673,0.0016576758156362432,0.06,0.0,G1,6.242323434790051,6.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID4,4,7,0.04,0.6,0.04,4,8.0,0,1,0.0830899792710706,0.0020253203890499,0.08309296386742109,0.0020239545288106646,0.09,0.0,G1,8.431825354098253,8.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID5,5,7,0.05,0.75,0.05,5,10.0,0,1,0.1190795274461313,0.0024726231566347,0.119371471978045,0.002470967575956358,0.13,0.0,G1,10.49520619403599,10.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID6,6,7,0.06,0.9,0.06,6,12.0,0,1,0.1677975429611122,0.0030184163247084,0.16849720060022494,0.003016413014290683,0.18,0.0,G1,12.418262553159222,12.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID7,7,7,0.07,1.05,0.07,7,14.000000000000002,0,1,0.2312006383448812,0.0036842398994358,0.23227954972355253,0.0036818209405491743,0.25,0.0,G1,14.506938556658616,14.000000000000002,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID8,8,7,0.08,1.2,0.08,8,16.0,0,1,0.3096159517074013,0.004496273160941,0.31078887596540755,0.004493359907013999,0.33,0.0,G1,16.459074710379056,16.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID9,9,7,0.09,1.35,0.09,9,18.0,0,1,0.4007014605281136,0.0054862988994504,0.4014874073760054,0.005482801599146094,0.43,0.01,G1,18.590744239296605,18.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID10,10,7,0.1,1.5,0.1,10,20.0,0,1,0.4990889488055994,0.0066928509242847,0.49909940819426085,0.006688669147703282,0.53,0.01,G1,20.600721559208843,20.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID11,11,7,0.11,1.65,0.11,11,22.0,0,1,0.5973291401620231,0.0081625711531598,0.5965657140069327,0.008157595560095097,0.63,0.01,G1,22.661084068738397,22.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID12,12,7,0.12,1.8,0.12,12,24.0,0,1,0.6879491607385626,0.0099518018669042,0.686803760779058,0.009945918096310536,0.73,0.01,G1,24.97311287571977,24.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID13,13,7,0.13,1.95,0.13,13,26.0,0,1,0.7655063671743092,0.0121284349842742,0.7644639717736537,0.012121530755995442,0.81,0.01,G1,27.250050877530047,26.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID14,14,7,0.14,2.1,0.14,14,28.000000000000004,0,1,0.8275221119729834,0.0147740316932729,0.8268728795796071,0.014766008594293105,0.88,0.02,G1,29.962150823452628,28.000000000000004,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID15,15,7,0.15,2.25,0.15,15,30.0,0,1,0.8741042270535977,0.0179862099620915,0.8738826388468228,0.017977001812560435,0.93,0.02,G1,32.93344672048891,30.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID16,16,7,0.16,2.4,0.16,16,32.0,0,1,0.9068755016391732,0.0218812709361304,0.9069696269126298,0.021870871019035613,0.96,0.02,G1,33.3,32.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID17,17,7,0.17,2.55,0.17,17,34.0,0,1,0.9279017924078584,0.0265969935768659,0.9281761353790894,0.026585493208591996,0.99,0.03,G1,33.3,34.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID18,18,7,0.18,2.7,0.18,18,36.0,0,1,0.9389530062671052,0.0322954646984505,0.9393067886053138,0.03228310532143343,1.0,0.03,G1,33.3,36.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID19,19,7,0.19,2.85,0.19,19,38.0,0,1,0.9411075417246836,0.0391657227967643,0.9414751552069304,0.03915296250960469,1.0,0.04,G1,33.3,38.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID20,20,7,0.2,3.0,0.2,20,40.0,0,1,0.9345879168603416,0.0474258731775667,0.93491192938913,0.04741346568574166,0.99,0.05,G1,33.3,40.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID21,21,7,0.21,3.15,0.21,21,42.0,0,1,0.918733144672379,0.0573241758988687,0.9189326845787332,0.057313254412063974,0.98,0.06,G1,33.3,42.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID22,22,7,0.22,3.3,0.22,22,44.0,0,1,0.8920869397271551,0.0691384203433467,0.8920409031184344,0.06913057019115033,0.95,0.08,G1,33.3,43.99999999999999,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID23,23,7,0.23,3.45,0.23,23,46.0,0,1,0.8526626362000618,0.0831726964939223,0.8522354495306478,0.08316998808773761,0.91,0.09,G1,31.56817464590268,46.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID24,24,7,0.24,3.6,0.24,24,48.0,0,1,0.7984996486591456,0.0997504891196852,0.7976349149223333,0.09975542900645912,0.85,0.11,G1/S,46.32699472305913,48.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID25,25,7,0.25,3.75,0.25,25,50.0,0,1,0.72858595547337,0.1192029220221178,0.7274391941152194,0.11921826898982443,0.77,0.13,G1/S,48.95844397037715,50.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID26,26,7,0.26,3.9,0.26,26,52.0,0,1,0.643997505145621,0.1418510649004876,0.6429796974448313,0.1418794595869553,0.68,0.16,G1/S,51.23114098811938,52.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID27,27,7,0.27,4.05,0.27,27,54.0,0,1,0.5487214612796176,0.1679816148660755,0.5483158098846364,0.16802499793828043,0.58,0.19,G1/S,53.38613303868298,53.99999999999999,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID28,28,7,0.28,4.2,0.28,28,56.00000000000001,0,1,0.449419973853685,0.1978161114414183,0.44984694140584075,0.19787496882450958,0.48,0.22,G1/S,55.400213538366415,56.00000000000001,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID29,29,7,0.29,4.35,0.29,29,57.99999999999999,0,1,0.3538434926671252,0.2314752165009821,0.35488586989073945,0.2315477902972091,0.38,0.26,G1/S,57.447741126595126,57.99999999999999,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID30,30,7,0.3,4.5,0.3,30,60.0,0,1,0.2686060712395286,0.2689414213699943,0.26978430311829343,0.2690231365700074,0.29,0.3,G1/S,59.476920235273155,59.99999999999999,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID31,31,7,0.31,4.65,0.31,31,62.0,0,1,0.1975912946711848,0.3100255188723828,0.19849881595590288,0.3101089411372548,0.21,0.35,G1/S,61.62462707371785,61.99999999999999,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID32,32,7,0.32,4.8,0.32,32,64.0,0,1,0.141700354542428,0.3543436937741702,0.1421871131298377,0.35441927848428334,0.15,0.39,G1/S,63.67300527694154,64.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID33,33,7,0.33,4.95,0.33,33,66.0,0,1,0.0996494599257773,0.4013123398872937,0.09977836309882798,0.40137001320884225,0.11,0.45,G1/S,65.45370548467001,66.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID34,34,7,0.34,5.1,0.34,34,68.0,0,1,0.069070696193727,0.4501660026856426,0.06898411022742006,0.45019727497803996,0.07,0.5,S/G2/M,70.00000000000054,68.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID35,35,7,0.35,5.25,0.35,35,70.0,0,1,0.0473804753088642,0.499999999986112,0.047204155906875114,0.5000000003907572,0.05,0.56,S/G2/M,72.4116205681689,70.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID36,36,7,0.36,5.4,0.36,36,72.0,0,1,0.0322650331415501,0.5498339972098591,0.032076775475855815,0.5498027279621763,0.03,0.61,S/G2/M,74.47312218043562,72.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID37,37,7,0.37,5.55,0.37,37,74.0,0,1,0.0218608718488506,0.5986876593541961,0.02169680835836754,0.5986300081329861,0.02,0.67,S/G2/M,77.0818505792447,74.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID38,38,7,0.38,5.7,0.38,38,76.0,0,1,0.0147603576841883,0.645656300622999,0.014631119520909994,0.6455808791593725,0.02,0.72,S/G2/M,79.44461608840764,76.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
